method,precision@1,recall@1,f1@1,precision@2,recall@2,f1@2,precision@3,recall@3,f1@3,precision@5,recall@5,f1@5,precision@10,recall@10,f1@10,mrr,map,total_queries
bm25,0.41200000000000003,0.41200000000000003,0.41200000000000003,0.2685,0.537,0.358,0.20333333333333328,0.61,0.305,0.1358,0.679,0.2263333333333333,0.07694999999999998,0.7695000000000001,0.13990909090909087,0.5269365079365079,0.5269365079365079,2000
boolean,0.1305,0.1305,0.1305,0.0995,0.199,0.13266666666666663,0.0778333333333333,0.23349999999999999,0.11674999999999999,0.054099999999999995,0.2705,0.09016666666666664,0.0306,0.306,0.055636363636363574,0.1899956349206349,0.1899956349206349,2000
vsm,0.2195,0.2195,0.2195,0.16325,0.3265,0.2176666666666666,0.1323333333333333,0.397,0.1985,0.0963,0.4815,0.16049999999999998,0.0627,0.627,0.11399999999999998,0.3352636904761904,0.3352636904761904,2000
